id,title,authors,year,venue,search_string
1,Object Oriented BDD and Executable Human-Language Module Specification,E. Lee; J. Gong; Q. Cao,2023,"2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",String_A
2,Exploring Large Language Models for Requirements on String Values,A. A. Babikian; B. Chen; G. Mussbacher,2025,"2025 IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering (MO2RE)",String_A
3,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,IEEE Access,String_A
4,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,S. B. Patel; S. Nigam; S. Mahale,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),String_A
5,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Y. Hachaïchi; M. A. Ouerghi,2025,2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),String_A
6,User Acceptance Test Case Generation Using LLMs,S. Varpe; U. Mittal; R. K. Bhatia; Ashpreet,2025,2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON),String_B
7,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),String_B
8,Automated Testing of the GUI of a Real-Life Engineering Software using Large Language Models,T. Rosenbach; D. Heidrich; A. Weinert,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String_B
9,AGORA: An Approach for Generating Acceptance Test Cases from Use Cases,G. De Vito; G. Vassallo; F. Palomba; F. Ferrucci,2024,2024 50th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),String_B
10,SiJesi: Large Language Model Chatbot with Augmented Retrieval Approach Generation and Prompt Engineering,H. S. Rosari; Girinoto; R. Novita Yasa; N. Qomariasih; R. Anindya Wijayanti,2024,"2024 International Conference on Computer Engineering, Network, and Intelligent Multimedia (CENIM)",String_B
11,Generative AI Based Mobile Application for Vehicle Breakdown and Maintenance Assistance,W. A. A. Weerawardhana; P. Pallegama,2025,2025 5th International Conference on Advanced Research in Computing (ICARC),String_B
12,Automated Software Test Case Generation Using Directional Partially Weighted Ensemble Large Language Models With Retrieval-Augmented Generation (RAG),W. Sisomboon; J. Kaewyotha; W. Songpan,2026,IEEE Access,String_B
13,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,J. Jagielski; C. Rojas; M. Abel,2025,2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),String_B
14,"Generative AI Agents, Build a Multilingual ChatGPT-based Customer Service Chatbot",R. Koualty; N. -Y. Chou; S. Alabdallah,2024,2024 2nd International Conference on Foundation and Large Language Models (FLLM),String_B
15,DriveGPT4: Interpretable End-to-End Autonomous Driving Via Large Language Model,Z. Xu; Y. Zhang; E. Xie; Z. Zhao; Y. Guo; K. -Y. K. Wong; Z. Li; H. Zhao,2024,IEEE Robotics and Automation Letters,String_B
16,Fault Diagnosis Explanation with Decision Trees and Large Language Models,L. H. P. Da Silva; T. M. F. De Sá; N. G. Monteiro; A. L. Rodrigues; F. M. Varejão; M. P. Ribeiro; T. Oliveira-Santos,2026,2026 IEEE International Conference on Industrial Technology (ICIT),String_B
17,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković,2024,2024 32nd Telecommunications Forum (TELFOR),String_B
18,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",M. Galloy; M. Balfroid; B. Vanderose; X. Devroey,2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",String_B
19,InTra: An Insight Travel Planner Application Using Generative AI for Personalized Itineraries,A. Singjai; C. Sanannam; T. Sanngoen,2026,"2026 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering (ECTI DAMT & NCON)",String_B
20,API Test Case Generation by Extracting HTTP Requests During Front-End Testing,Y. -J. Guo; S. -P. Ma; H. -J. Peng; Y. -S. Su,2024,2024 IEEE International Conference on e-Business Engineering (ICEBE),String_B
21,Context-Aware Behavior-Driven Pipeline Generation,P. Gunathilaka; D. Senadheera; S. Perara; C. Gunawardana; S. Thelijjagoda; J. Krishara,2025,2025 13th International Symposium on Digital Forensics and Security (ISDFS),String_B
22,"ATDLLMD: a test-driven framework for safe, reliable, and business-centric LLM development",V. R. Parupally,2026,International Conference on Advancing Technology in Engineering and Science (ICATES 2025),String_B
23,A Cloud–Edge Collaborative Architecture for Multimodal LLM-Based Advanced Driver Assistance Systems in IoT Networks,Y. Hu; D. Ye; J. Kang; M. Wu; R. Yu,2025,IEEE Internet of Things Journal,String_B
24,Passing the Driving Knowledge Test,M. Wei; W. Liu; E. Ohn-Bar,2025,2025 IEEE/CVF International Conference on Computer Vision (ICCV),String_B
25,Automatic Test Case Generation Mechanism With Natural Language-Based Korean Requirement Specifications,W. Jang; R. Young Chul Kim,2025,IEEE Access,String_B
26,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne,2024,IEEE Access,String_C
27,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),String_C
28,System Design for Automating Incident Update Responses Using Large Language Models,G. A. Muhamad; C. R. Winata; K. Habib,2025,2025 Tenth International Conference on Informatics and Computing (ICIC),String_C
29,Application of Startup Success Prediction Models and Business Document Extraction Using Large Language Models to Enhance Due Diligence Efficiency,V. C. Samudra; D. P. Satya,2024,"2024 11th International Conference on Advanced Informatics: Concept, Theory and Application (ICAICTA)",String_C
30,Large Language Model Chatbot with Retrievalaugmented Generation and Function Calling for Indonesian Article 21 Withholding Tax Support,V. A. Saputra; M. S. Devi; E. S. Metta; R. Sutoyo; M. Karina,2026,2026 International Conference on Current Research in Artificial Intelligence and Data Science (ICCRAIDS),String_C
31,Cooking and Food Information Chatbot System using GPT-3,S. Safitri; T. Mantoro; M. A. C. Bhakti; W. Wandy,2023,"2023 IEEE 9th International Conference on Computing, Engineering and Design (ICCED)",String_C
32,ExplainDrive: A Multimodal Chain-of-Thought Reasoning Approach for Explainable Automated Driving Systems,X. Yu; J. Peng; H. Li; E. Li; D. Du,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",String_C
33,Meet C4SE: Your New Collaborator for Software Engineering Tasks,G. De Vito; S. Lambiase; F. Palomba; F. Ferrucci,2023,2023 49th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),String_C
34,Automated Essay Grading System with Automated Generated Feedbacks,A. A. Adrian; T. P. Ping,2025,2025 International Conference on Electrical Engineering and Informatics (ICEEI),String_C
